Date,Open,High,Low,Close,Adj Close,Volume
2021-09-17,45.740002,46.689999,45.740002,46.470001,45.229202,34912100
2021-09-20,45.029999,45.869999,44.84,45.810001,44.586823,30603100
2021-09-21,45.98,46.360001,45.73,45.849998,44.625751,23049100
2021-09-22,46.490002,47.689999,46.470001,47.080002,45.822914,29430700
2021-09-23,47.459999,48.169998,47.16,47.799999,46.523685,21852800
2021-09-24,47.779999,48.57,47.73,47.919998,46.640476,20384700
2021-09-27,48.380001,48.939999,46.16,47.560001,46.290096,48927500
2021-09-28,47.009998,47.029999,45.07,45.919998,44.693882,49349100
2021-09-29,46.450001,47.150002,45.93,47.029999,45.774246,21730200
2021-09-30,47.139999,47.150002,46.119999,46.41,45.170803,22947500
2021-10-01,46.549999,47.310001,46.490002,47.02,45.764511,18021700
2021-10-04,47.02,47.689999,46.669998,47.02,45.764511,22315200
2021-10-05,47.5,48.450001,47.349998,47.959999,46.679413,20250500
2021-10-06,47.580002,48.09,47.060001,47.869999,46.591816,17425700
2021-10-07,48.259998,48.59,47.540001,47.759998,46.484749,19272300
2021-10-08,47.869999,48.34,47.66,48.0,46.718346,14295400
2021-10-11,48.200001,48.459999,47.220001,47.279999,46.017567,15387900
2021-10-12,47.290001,47.529999,46.52,46.650002,45.404392,18995700
2021-10-13,46.57,46.57,45.220001,46.049999,44.820412,24150300
2021-10-14,46.68,46.889999,44.830002,45.310001,44.100174,53257700
2021-10-15,45.720001,48.740002,45.709999,48.380001,47.088203,60096600
2021-10-18,48.189999,49.709999,48.139999,49.43,48.110165,33842700
2021-10-19,49.639999,50.349998,49.279999,50.34,48.995861,26500300
2021-10-20,50.189999,50.389999,49.709999,50.16,48.820671,24227900
2021-10-21,49.950001,50.599998,49.759998,50.330002,48.986134,20448300
2021-10-22,50.540001,51.119999,50.490002,50.66,49.30732,21517200
2021-10-25,50.889999,51.119999,50.52,50.619999,49.268387,19330300
2021-10-26,50.73,51.099998,50.360001,50.630001,49.278122,18196300
2021-10-27,50.259998,50.990002,49.950001,50.049999,48.713608,21988300
2021-10-28,50.380001,51.400002,50.349998,51.360001,49.988632,26785500
2021-10-29,51.25,51.639999,51.02,51.16,49.793968,19788500
2021-11-01,51.560001,52.0,51.27,51.709999,50.329285,18699000
2021-11-02,51.540001,51.720001,51.220001,51.299999,49.930229,21672500
2021-11-03,51.040001,52.57,51.02,52.0,50.611542,24225700
2021-11-04,51.549999,51.700001,49.91,50.619999,49.458611,32005700
2021-11-05,51.0,51.610001,50.400002,50.439999,49.282742,23443200
2021-11-08,50.549999,51.369999,50.549999,50.869999,49.702877,19509500
2021-11-09,50.5,50.560001,49.209999,49.889999,48.745361,28324800
2021-11-10,49.740002,50.77,49.68,50.360001,49.204578,19827800
2021-11-11,50.419998,50.91,50.220001,50.59,49.429302,16069700
2021-11-12,50.68,51.0,50.369999,50.959999,49.790817,17124700
2021-11-15,51.189999,51.700001,50.98,51.080002,49.908062,20110200
2021-11-16,51.110001,51.18,50.169998,50.369999,49.214352,19244900
2021-11-17,50.419998,50.689999,49.529999,49.84,48.69651,17802700
2021-11-18,49.630001,50.18,49.27,49.900002,48.755135,19198200
2021-11-19,49.0,49.240002,47.77,48.82,47.699909,30548400
2021-11-22,50.630001,51.110001,49.73,50.34,49.185036,28549400
2021-11-23,50.709999,51.740002,50.700001,51.400002,50.220718,28024400
2021-11-24,51.509998,51.740002,51.18,51.310001,50.132786,18901900
